,open,high,low,close,volume,log_return,volatility,trend_slope,volume_zscore,price_dist_ma,regime_wf_viterbi,prob_crash,prob_sideways,prob_bull,regime_wf_forward
2017-09-11,4251.36,4365.0,4111.14,4210.72,9068.25507562,-0.0096052772977717,0.0303130039051195,0.0439362816574449,-0.8662540291632714,0.101059854309452,2,0.27666658636105423,0.000339031648489642,0.7229943819902394,2
2017-09-12,4210.72,4375.37,4080.0,4164.52,12373.3985777,-0.0110326315704487,0.0300940738617911,0.0386171562778875,-0.1000173874776749,0.0810511094212641,2,0.5617522855728067,0.0004122524000039973,0.4378354620273144,0
2017-09-13,4164.52,4174.53,3726.0,3855.32,22842.53225552,-0.077147010229677,0.0344061197173954,0.0374048809599263,1.92684061005414,-0.0058776505343756,0,0.9073963541950836,1.7822114221240486e-16,0.09260364580470623,0
2017-09-14,3855.61,3923.0,3230.05,3250.4,36363.92501211,-0.170675946957968,0.0488159171112123,0.0323717623973103,3.120763323702446,-0.1649802199166294,0,0.9999871362901755,2.4089707846996112e-61,1.2863709648561848e-05,0
2017-09-15,3249.99,3894.48,2975.01,3740.02,54488.48241948,0.1403128933143451,0.0591222160648676,0.0304001197720141,3.409280840575431,-0.0444758352041323,0,1.0,3.312707524261444e-61,7.824466948878977e-16,0
2017-09-16,3740.02,4042.98,3600.0,3726.51,19031.68597217,-0.0036188201865529,0.0591221660643686,0.0276307238824933,0.161930087852202,-0.0524806582237617,0,0.9999999999881766,1.845142464997963e-24,1.1812608861622276e-11,0
2017-09-17,3726.51,3841.0,3475.64,3719.97,11718.88020167,-0.0017565350827644,0.059118198997885,0.0255530875795885,-0.5421112551598152,-0.0590232430721925,0,0.9999999999904503,7.589282471875132e-24,9.58843700619144e-12,0
2017-09-18,3719.98,4130.0,3717.56,4100.0,16906.72338998,0.0972713699738544,0.06331354722357,0.0258019237810673,-0.0853836854272717,0.0299366925547535,0,1.0,3.395282490355981e-38,3.7803825962841966e-15,0
2017-09-19,4100.0,4125.22,3850.44,3910.11,13781.15538642,-0.0474214671163854,0.0628932976761573,0.0273094340031883,-0.3781200237069692,-0.0229346030794736,0,0.9999999999922693,6.261984285017844e-25,7.511299473977307e-12,0
2017-09-20,3910.11,4044.0,3850.01,3872.06,9910.40111429,-0.0097788414318371,0.0628878501779291,0.0274750208786723,-0.7415157534457356,-0.037921314115513,0,0.999999999998181,1.087938775109224e-24,1.8160181394127028e-12,0
2017-09-21,3872.07,3903.57,3571.0,3617.47,14978.48542601,-0.0680117786929663,0.0633902654855065,0.0272371783497368,-0.2687697759695449,-0.1052582657879138,0,0.9999999999968168,4.8431869674626155e-33,3.243147858552861e-12,0
2017-09-22,3617.47,3767.77,3509.79,3619.01,12649.02130076,0.0004256213029673,0.0622230216351168,0.0262004884926181,-0.4684116958590041,-0.1085462955089676,0,0.9999999999995453,4.382860352248114e-31,3.66400673168018e-13,0
2017-09-23,3619.01,3818.89,3580.0,3787.33,6595.93530667,0.0454607775676594,0.0625682903580334,0.0238936969435244,-0.9576990658409849,-0.0713395736557261,0,1.0,6.892385644076627e-33,3.252957781667039e-14,0
2017-09-24,3787.33,3789.36,3630.01,3669.01,4692.79090244,-0.0317394144319753,0.0627389494082468,0.0207720371521595,-1.0757973197977906,-0.1022253055496515,0,0.9999999999995453,1.2101529881258613e-27,4.0539693473177416e-13,0
2017-09-25,3669.01,3969.37,3669.01,3919.78,9583.73758911,0.0661136588707433,0.0647941415445672,0.0185460953354248,-0.5863098585876524,-0.0441271754825926,0,1.0,5.297871373604983e-36,1.769008495874107e-16,0
2017-09-26,3919.98,3960.0,3854.29,3885.09,5893.22353833,-0.0088893802040194,0.0647698760326859,0.0164064896699187,-0.8508046675837495,-0.0548309427313804,0,1.0,1.1993803500181127e-25,5.837276363836192e-15,0
2017-09-27,3885.09,4228.39,3880.36,4200.0,12072.66869574,0.077938375714874,0.0666074316619696,0.0160808627699163,-0.2918644156769306,0.0179295197234021,0,1.0,7.126989992882911e-35,2.4701976021009732e-17,0
2017-09-28,4200.0,4269.95,4122.0,4189.42,7903.94689054,-0.0025222257578784,0.0665940026820539,0.0156126733509135,-0.6528845680656182,0.011215473555251,0,1.0,2.549209401939368e-23,1.742253731796417e-15,0
2017-09-29,4189.42,4212.99,4015.17,4156.99,10360.83388071,-0.007771044844785,0.065339772569089,0.0169374782756161,-0.3916886133964277,-4.931209625719439e-05,0,1.0,3.507314430858959e-23,9.271106098874056e-15,0
2017-09-30,4156.99,4356.28,4143.52,4339.0,6235.07845604,0.0428526521295546,0.0660708419726291,0.016811481203361,-0.7304223715489772,0.0403150243643265,0,1.0,1.4282506409187172e-25,1.0341052882038146e-15,0
2017-10-01,4339.01,4396.99,4256.92,4394.81,5366.91196997,0.0127803924421877,0.0659712934904803,0.0169319920688175,-0.7769945971276623,0.0510710602108711,0,1.0,1.2727312780071221e-21,7.32400170831736e-15,0
2017-10-02,4394.81,4470.0,4354.23,4392.71,8647.75799194,-0.0004779505571485,0.0659239654111193,0.0147783872301069,-0.4932657744157624,0.0489019232252438,0,1.0,3.89897258061907e-21,6.5971019704040414e-15,0
2017-10-03,4392.71,4419.95,4240.0,4307.99,10606.10621945,-0.0194749106725718,0.0660331598968887,0.0106756497565421,-0.3175223331452456,0.0287342279489301,0,1.0,6.321872992883176e-22,1.8590867069251813e-15,0
2017-10-04,4307.99,4344.0,4175.3,4214.84,6555.27096872,-0.0218598069632014,0.0638004134940001,0.0075354060713448,-0.6006342713985318,0.006226426490519,0,1.0,8.713861276254297e-21,3.2261607746445545e-15,0
2017-10-05,4214.84,4365.21,4150.01,4320.04,6482.32778439,0.0246530304069319,0.0497051010984737,0.0040373855270967,-0.5383530638453854,0.0315873910240692,0,0.9999999997171471,1.0519433299924921e-11,2.724152835519282e-10,0
2017-10-06,4320.02,4407.0,4299.99,4362.99,6441.72560363,0.0098929406655174,0.0403396375842841,0.0019456157550432,-0.8494454923627042,0.0414307548884101,0,0.9999851379511088,1.4486546409365013e-05,3.755026902736097e-07,0
2017-10-07,4363.0,4449.42,4320.0,4425.0,4178.25089288,0.0141126763219636,0.0402843969666249,0.001899909168145,-1.3850103000762308,0.0546047403398682,0,0.9999778390333574,2.1804273653748702e-05,3.5669300907917514e-07,0
2017-10-08,4425.0,4612.0,4420.01,4603.49,7159.77178341,0.0395444330232745,0.040780109867756,0.004077619364354,-0.4926663063105979,0.0948161608582024,0,0.9999973098715405,8.714793836293826e-07,1.8186489854426916e-06,0
2017-10-09,4603.5,4875.39,4561.0,4769.55,14273.86832882,0.0354372493441789,0.0361436646841552,0.0072096040707079,1.6742094775410812,0.1304454214015547,0,0.9543810384521396,0.005623643354918746,0.039995318192728835,0
2017-10-10,4769.55,4925.65,4701.53,4750.0,13709.70806252,-0.0041073427807963,0.0340455830124538,0.0109533521064595,1.5058224030624574,0.121834113279644,0,0.5347364061597841,0.047668020833508594,0.4175955730065257,0
2017-10-11,4750.0,4869.97,4720.21,4814.99,7238.87876179,0.0135893503581841,0.0337727935697063,0.0139288792108189,-0.4296167190436096,0.1333128434339295,0,0.7505543291793064,0.0738790402922222,0.17556663052851046,0
2017-10-12,4814.99,5440.92,4809.59,5440.0,20097.68845511,0.1220450924631174,0.0370245652106274,0.018398009642048,2.868419674310445,0.272655252009602,2,6.95232103956789e-05,2.5066396888790113e-18,0.999930476789682,2
2017-10-13,5440.0,5867.0,5390.0,5624.8,26597.9752588,0.0334063310349632,0.0368773809976845,0.0223160759331496,3.1235375925968665,0.3078548720081903,2,2.7681432322525234e-10,6.925532167347753e-11,0.9999999996539373,2
2017-10-14,5624.87,5839.8,5567.86,5819.13,8999.20367594,0.0339653741305225,0.0365802451724397,0.0255863464596578,-0.1241087282717956,0.3439206075909701,2,7.756546925279593e-06,6.801490254901527e-12,0.999992243446355,2
2017-10-15,5819.13,5849.83,5455.5,5693.7,11817.32828781,-0.0217904656044905,0.035929137114492,0.0281884138668278,0.3402400806343845,0.306807702226409,2,7.954522237852452e-06,2.5585000960567663e-12,0.9999920454750151,2
2017-10-16,5693.7,5785.3,5575.55,5754.9,8820.66040004,0.0106913653994181,0.0344489281569165,0.0311616512540109,-0.2170076778815484,0.3123314092312659,2,2.412094301835661e-05,1.947583822313162e-09,0.9999758771095145,2
2017-10-17,5754.9,5769.99,5525.0,5594.0,9121.4068495,-0.0283570710484967,0.0354637980297266,0.0305938918352514,-0.1921629445049676,0.2686449302780506,2,0.00021275025868525957,4.403939249758765e-10,0.9997872493009257,2
2017-10-18,5593.97,5600.0,5102.0,5574.44,17620.49150442,-0.0035027309093603,0.0328657900169503,0.0289358306664036,1.3201063707487255,0.2586403331904848,2,3.091656344688242e-06,1.449185185613181e-07,0.999996763425096,2
2017-10-19,5574.02,5750.0,5529.44,5704.01,8908.55652227,0.0229775723957306,0.0327156732563172,0.0272753703762694,-0.2806312098681908,0.2814030242226532,2,7.598461336757115e-05,2.114241865108127e-07,0.9999238039626601,2
2017-10-20,5704.0,6063.99,5630.0,5989.1,16708.981564,0.0487717141551327,0.0330987140054878,0.0266579731419053,1.0606102518342009,0.3379631282373689,2,8.902489359190613e-08,1.2093482106637379e-11,0.9999999109632012,2
2017-10-21,5989.1,6189.1,5868.26,6024.86,14614.73525277,0.0059530921709526,0.032655761836457,0.0250277289936421,0.6216865659479965,0.3395069326041384,2,1.1580125695484594e-07,1.7552824242599237e-12,0.9999998841967748,2
2017-10-22,6024.85,6082.3,5755.95,6005.05,10770.42951293,-0.00329346070027,0.0329132804357697,0.0255233661126945,-0.1156880369013001,0.3271062182662926,2,2.810583838776383e-06,6.467096454443803e-12,0.9999971894097532,2
2017-10-23,6005.05,6057.02,5650.98,5905.99,16446.78333056,-0.0166336917650189,0.0334738933711794,0.0267180940583658,0.8505086546147909,0.297871680224973,2,9.97528141709042e-07,2.8126619400474586e-11,0.9999990024435166,2
2017-10-24,5906.0,5906.0,5462.19,5525.43,18281.54006372,-0.0666060176972654,0.0372089260080974,0.026183013718385,1.083958771872211,0.2087845303722365,2,0.00024233463056256543,9.023531806699993e-15,0.9997576653692859,2
2017-10-25,5525.43,5765.0,5376.71,5739.97,14136.58125946,0.0380929114073114,0.0367906496315276,0.0263051171014085,0.2962158211481912,0.2485763110337308,2,0.0009405826562248609,1.501059186434359e-06,0.9990579162844254,2
2017-10-26,5739.97,6000.0,5701.0,5891.61,11850.82718824,0.026075321126624,0.0368111786764462,0.0270190242516495,-0.1679569153464061,0.2744897452811662,2,0.0004921141703421743,2.5797860576461014e-07,0.9995076278512435,2
2017-10-27,5891.61,5998.0,5708.8,5780.0,9337.84412481,-0.0191256222793187,0.0375410093577825,0.0260268709384337,-0.6789808824974822,0.2441245786281351,2,0.004213488876301735,1.0538802913382933e-07,0.9957864057357889,2
2017-10-28,5780.0,5894.0,5715.0,5752.01,5453.79798889,-0.0048543237413215,0.0377503981758398,0.0263930768228142,-1.4608490027392338,0.2306720424747146,2,0.02758697641346408,8.659921750882733e-06,0.9724043636646126,2
2017-10-29,5752.01,6298.99,5728.0,6140.01,12509.85515088,0.0652770118792554,0.0390671681789099,0.0294963246420343,-0.140266319420036,0.3036141773713244,2,0.0013411141753465821,4.216339283065993e-11,0.998658885782595,2
2017-10-30,6140.01,6200.0,6028.0,6124.16,8341.53244599,-0.0025847666535137,0.0388907734334059,0.0316452664592596,-0.9047346850744686,0.2899903952571383,2,0.0014662683468396184,7.204551953748596e-09,0.9985337244487326,2
2017-10-31,6124.16,6472.13,6095.96,6445.01,15024.49558504,0.0510645838116208,0.0396119010807089,0.0353519894694054,0.401158581119579,0.3449149564327526,2,2.0769167050770173e-05,6.26421809882599e-12,0.9999792308268708,2
2017-11-01,6445.01,6784.0,6363.59,6783.69,20571.58188569,0.0512150137104749,0.0404100436715856,0.0410109956508755,1.346922100575547,0.4002824720094809,2,6.083815939538201e-08,2.4006533360638766e-15,0.9999999391616275,2
2017-11-02,6783.69,7445.0,6759.0,7039.98,35889.38819701,0.0370841275660224,0.0328402182806298,0.0477427548617228,3.0821480126681364,0.4343277912026803,2,5.003469547726652e-13,6.436603710159138e-17,0.9999999999995453,2
2017-11-03,7039.99,7449.99,6955.89,7170.01,24759.33130603,0.0183017200538711,0.0325181460402779,0.055470772795769,1.5335717464048813,0.4378552219379582,2,1.3209404447414895e-09,1.4132764080841721e-16,0.999999998678959,2
2017-11-04,7170.01,7498.0,7011.1,7412.55,13668.92328073,0.0332674603529614,0.0324944485566149,0.0617790562364643,-0.1246871660426687,0.4649159492727682,2,1.4195946113714285e-07,6.068317585529826e-18,0.9999998580406201,2
2017-11-05,7412.35,7630.0,7310.0,7392.0,16504.95764862,-0.0027761753242742,0.0317766998269212,0.0664728599265525,0.2644916273885525,0.4399921828995785,2,4.249388712490119e-07,3.995166475186913e-17,0.9999995750609735,2
2017-11-06,7391.95,7432.49,6900.73,6969.76,24287.52091386,-0.058817543445299,0.0353824426386624,0.0680679683984766,1.2831073046602055,0.3407620907913789,2,1.1528607538274246e-05,2.348994590469097e-19,0.9999884713925603,2
